country,life_expectancy_female,life_expectancy_male,expected_schooling_female,expected_schooling_male,mean_schooling_female,mean_schooling_male,gni_female,gni_male,maternal_mortality_ratio,adolescent_birth_rate,parliament_seat_percentage,secondary_education_percentage_female,secondary_education_percentage_male,labor_force_participation_female,labor_force_participation_male
San Marino,83.5,78.4,11.8,12.8,10.9,10.7,..,..,..,3.8,33.3,81.8,84.3,..,..
Slovakia,78.4,71.5,15,14,12.9,13,"24,849","36,813",5,26.3,22.7,98.9,99.2,54.7,66.4
Hungary,77.9,71.1,15.3,14.8,12.1,12.4,"25,909","40,262",12,22.1,13.1,97.6,98.8,52.1,67.2
Argentina,78.6,72.2,19.2,16.6,11.4,10.9,"15,581","26,376",39,39.1,44.4,71,71.4,50,71.6
Türkiye,79.1,73,17.9,18.8,7.9,9.4,"19,079","42,929",17,16.9,17.3,56.3,75.9,31.8,69.4
Montenegro,79.8,73,15.6,14.6,11.8,12.6,"15,935","26,001",6,10.4,24.7,92.3,99.2,47.8,62
Kuwait,81.5,77.2,17,13.9,8.1,6.9,"28,086","68,827",12,5.6,1.5,60.9,55.2,47.4,83.8
Brunei Darussalam,76.9,72.6,14.4,13.5,9.2,9.2,"47,579","80,261",31,10,9.1,70.4,71.2,54.1,72.3
Russian Federation,74.8,64.2,16,15.6,12.8,12.8,"21,857","33,288",17,15,16.5,92.8,95.9,54.5,69.7
Romania,77.9,70.6,14.7,13.8,11,11.6,"24,554","35,874",19,36.4,18.5,88.8,93.7,42.8,62.3
Oman,74.7,71,15,14.5,12.1,11.4,"7,169","39,717",19,9.9,9.9,96.6,99.9,28.7,85
Bahamas,75.1,68.1,..,..,12.7,12.6,"25,897","35,495",70,25.7,20,87,89.9,65.6,71.5
Kazakhstan,73.1,65.5,16,15.5,12.4,12.3,"18,976","29,305",10,21.9,24.5,99.8,100,63.3,75.5
Trinidad and Tobago,76.4,69.7,14.8,14.2,11.7,11.5,"16,794","30,166",67,38.1,32.4,84.8,80.6,46.7,68
Costa Rica,79.8,74.4,17.1,16,8.9,8.7,"16,568","23,376",27,37.1,45.6,56.2,54.5,47.5,71.1
Uruguay,79.3,71.7,17.3,15.4,9.3,8.7,"17,125","25,680",17,36.2,26.2,59.6,55.5,54.8,69.3
Belarus,77.7,67.3,15.3,15,12.2,12.1,"15,158","23,165",2,11.9,34.7,97.5,99,57.3,71.4
Panama,79.6,73,13.6,12.5,10.8,10.3,"23,380","30,531",52,69.9,22.5,70.2,68.7,50.4,72.6
Malaysia,77.4,72.7,13.8,12.9,10.6,10.7,"20,672","32,380",29,9.3,14.9,75,78.4,51.2,77.6
Georgia,76.7,66.8,15.9,15.2,12.9,12.8,"11,285","18,472",25,31.7,19.3,97.1,98.3,51,68
Mauritius,76.8,70.4,15.9,14.5,10,10.9,"15,016","29,221",61,24.6,20,64.4,70.8,43.4,70.4
Serbia,77.2,71.2,15,13.9,11,11.8,"15,306","23,270",12,14.9,39.2,88.6,95.3,46.6,62.3
Thailand,83,74.5,16.2,15.6,8.6,8.8,"15,457","18,694",37,32.7,13.9,47.6,51.7,59,75
Albania,79.2,74.1,15.3,13.7,11.7,10.9,"11,637","16,630",15,14.5,35.7,95.4,93,50.7,66.2
Bulgaria,75.5,68.4,14.2,13.6,11.5,11.3,"18,109","28,357",10,38.6,23.8,94.9,96.5,49.1,62.6
Grenada,77.9,72.2,19.3,18.1,..,..,..,..,25,32.7,32.1,..,..,..,..
